id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Germ.PGC|Germ.PGC	Germ.PGC|Somatic.OSE	Germ.PGC|Somatic.preGC_IIa	Somatic.OSE|Germ.PGC	Somatic.OSE|Somatic.OSE	Somatic.OSE|Somatic.preGC_IIa	Somatic.preGC_IIa|Germ.PGC	Somatic.preGC_IIa|Somatic.OSE	Somatic.preGC_IIa|Somatic.preGC_IIa	Germ.oogonia_STRA8|Germ.oogonia_STRA8	Germ.oogonia_STRA8|Germ.oogonia_meiotic	Germ.oogonia_STRA8|Somatic.preGC_IIb	Germ.oogonia_meiotic|Germ.oogonia_STRA8	Germ.oogonia_meiotic|Germ.oogonia_meiotic	Germ.oogonia_meiotic|Somatic.preGC_IIb	Somatic.preGC_IIb|Germ.oogonia_STRA8	Somatic.preGC_IIb|Germ.oogonia_meiotic	Somatic.preGC_IIb|Somatic.preGC_IIb	Germ.oocyte|Germ.oocyte	Germ.oocyte|Somatic.granulosa	Somatic.granulosa|Germ.oocyte	Somatic.granulosa|Somatic.granulosa
CPI-SC04BD52124	COL18A1_integrin_a2b1_complex	simple:P39060	complex:integrin_a2b1_complex	COL18A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.114	0.178	0.124	0.722	0.787	0.732	0.162	0.226	0.172	0.087	0.074	0.211	0.076	0.063	0.2	0.104	0.091	0.228	0.145	0.821	0.399	1.075
CPI-SC0BDD04147	COL19A1_integrin_a2b1_complex	simple:Q14993	complex:integrin_a2b1_complex	COL19A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.08	0.144	0.09	0.047	0.112	0.057	0.051	0.116	0.061	0.142	0.129	0.266	0.163	0.15	0.287	0.043	0.03	0.167	0.067	0.742	0.024	0.699
CPI-SC04BCFC59C	COL1A1_integrin_a2b1_complex	simple:P02452	complex:integrin_a2b1_complex	COL1A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.105	0.17	0.116	0.696	0.762	0.707	0.326	0.39	0.336	0.108	0.095	0.232	0.143	0.13	0.267	0.198	0.185	0.322	0.266	0.942	1.144	1.819
CPI-SC03D0A4AD2	COL1A2_integrin_a2b1_complex	simple:P08123	complex:integrin_a2b1_complex	COL1A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.231	0.296	0.242	0.74	0.804	0.75	0.528	0.592	0.538	0.142	0.129	0.266	0.121	0.108	0.245	0.296	0.283	0.42	0.298	0.974	1.152	1.828
CPI-SC0D5DDAD29	COL20A1_integrin_a2b1_complex	simple:Q9P218	complex:integrin_a2b1_complex	COL20A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.063	0.128	0.074	0.082	0.147	0.092	0.084	0.15	0.095	0.067	0.054	0.191	0.045	0.032	0.169	0.051	0.038	0.175	0.022	0.698	0.017	0.692
CPI-SC0D10396B4	COL21A1_integrin_a2b1_complex	simple:Q96P44	complex:integrin_a2b1_complex	COL21A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.05	0.115	0.061	0.07	0.134	0.08	0.063	0.128	0.074	0.044	0.031	0.168	0.033	0.02	0.157	0.082	0.07	0.206	0.021	0.696	0.18	0.856
CPI-SC04D3AE2F6	COL22A1_integrin_a2b1_complex	simple:Q8NFW1	complex:integrin_a2b1_complex	COL22A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.304	0.368	0.314	0.085	0.15	0.096	0.11	0.175	0.12	0.13	0.117	0.254	0.063	0.05	0.187	0.086	0.073	0.21	0.388	1.063	0.026	0.702
CPI-SC088A27EA5	COL24A1_integrin_a2b1_complex	simple:Q17RW2	complex:integrin_a2b1_complex	COL24A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.066	0.132	0.077	0.046	0.11	0.056	0.0	0.0	0.0	0.05	0.037	0.173	0.063	0.05	0.187	0.031	0.018	0.155	0.032	0.708	0.017	0.692
CPI-SC0F179D307	COL26A1_integrin_a2b1_complex	simple:Q96A83	complex:integrin_a2b1_complex	COL26A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.058	0.124	0.069	0.379	0.444	0.39	0.198	0.263	0.209	0.039	0.026	0.163	0.035	0.022	0.159	0.156	0.143	0.28	0.023	0.699	0.106	0.781
CPI-SC044C2FDA4	COL27A1_integrin_a2b1_complex	simple:Q8IZC6	complex:integrin_a2b1_complex	COL27A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.108	0.173	0.118	0.289	0.354	0.3	0.136	0.201	0.146	0.164	0.151	0.288	0.052	0.039	0.176	0.096	0.083	0.219	0.032	0.708	0.108	0.784
CPI-SC04251A46C	COL28A1_integrin_a2b1_complex	simple:Q2UY09	complex:integrin_a2b1_complex	COL28A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.048	0.112	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.034	0.17	0.046	0.033	0.17	0.032	0.019	0.156	0.11	0.785	0.014	0.689
CPI-SC09C62F412	COL2A1_integrin_a2b1_complex	simple:P02458	complex:integrin_a2b1_complex	COL2A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.049	0.114	0.059	0.159	0.224	0.17	0.095	0.16	0.106	0.044	0.031	0.167	0.049	0.036	0.173	0.051	0.038	0.175	0.017	0.693	0.175	0.85
CPI-SC06A152CC0	COL3A1_integrin_a2b1_complex	simple:P02461	complex:integrin_a2b1_complex	COL3A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.083	0.148	0.094	1.531	1.596	1.542	1.083	1.148	1.094	0.192	0.179	0.316	0.135	0.122	0.259	2.61	2.597	2.734	0.288	0.964	6.601	7.277
CPI-SC03515B178	COL4A1_integrin_a2b1_complex	simple:P02462	complex:integrin_a2b1_complex	COL4A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.53	0.596	0.541	0.454	0.519	0.464	0.344	0.409	0.354	0.077	0.064	0.201	0.058	0.045	0.182	0.583	0.57	0.707	0.038	0.714	1.827	2.503
CPI-SC046604E76	COL4A2_integrin_a2b1_complex	simple:P08572	complex:integrin_a2b1_complex	COL4A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.813	0.878	0.824	0.784	0.849	0.795	0.569	0.634	0.579	0.159	0.147	0.284	0.111	0.098	0.235	0.886	0.874	1.01	0.081	0.757	2.084	2.76
CPI-SC0926FDACC	COL4A3_integrin_a2b1_complex	simple:Q01955	complex:integrin_a2b1_complex	COL4A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.044	0.11	0.055	0.045	0.11	0.055	0.048	0.112	0.058	0.032	0.02	0.156	0.032	0.019	0.156	0.061	0.048	0.185	0.016	0.692	1.063	1.739
CPI-SC072376C7B	COL4A4_integrin_a2b1_complex	simple:P53420	complex:integrin_a2b1_complex	COL4A4		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.049	0.114	0.059	0.049	0.114	0.059	0.064	0.128	0.074	0.036	0.023	0.159	0.038	0.025	0.162	0.096	0.083	0.22	0.063	0.738	1.412	2.088
CPI-SC0C287AFC3	COL4A5_integrin_a2b1_complex	simple:P29400	complex:integrin_a2b1_complex	COL4A5		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.277	0.342	0.288	0.31	0.376	0.321	0.208	0.274	0.219	0.208	0.195	0.332	0.302	0.289	0.426	0.311	0.299	0.435	0.113	0.789	0.234	0.91
CPI-SC0FDD31EAB	COL4A6_integrin_a2b1_complex	simple:Q14031	complex:integrin_a2b1_complex	COL4A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.222	0.288	0.233	0.167	0.232	0.178	0.098	0.162	0.108	0.132	0.12	0.256	0.107	0.094	0.231	0.124	0.111	0.248	0.033	0.709	0.062	0.737
CPI-SC0681DB40E	COL5A1_integrin_a2b1_complex	simple:P20908	complex:integrin_a2b1_complex	COL5A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.082	0.148	0.093	0.16	0.225	0.171	0.084	0.149	0.094	0.08	0.068	0.204	0.043	0.03	0.167	0.054	0.041	0.178	0.099	0.774	0.104	0.78
CPI-SC0345262E7	COL5A2_integrin_a2b1_complex	simple:P05997	complex:integrin_a2b1_complex	COL5A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.063	0.128	0.074	0.153	0.218	0.164	0.126	0.191	0.136	0.081	0.068	0.205	0.106	0.093	0.23	0.128	0.115	0.252	0.032	0.708	0.149	0.825
CPI-SC0D5418330	COL5A3_integrin_a2b1_complex	simple:P25940	complex:integrin_a2b1_complex	COL5A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.067	0.132	0.078	0.049	0.114	0.059	0.044	0.11	0.055	0.034	0.021	0.158	0.032	0.019	0.156	0.033	0.02	0.157	0.015	0.69	0.021	0.696
CPI-SC0CCB0D955	COL6A1_integrin_a2b1_complex	simple:P12109	complex:integrin_a2b1_complex	COL6A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.168	0.234	0.179	0.544	0.608	0.554	0.432	0.497	0.442	0.303	0.29	0.427	0.138	0.125	0.262	0.507	0.494	0.631	0.091	0.767	1.392	2.068
CPI-SC01A5C5096	COL6A2_integrin_a2b1_complex	simple:P12110	complex:integrin_a2b1_complex	COL6A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.305	0.37	0.316	0.59	0.656	0.601	0.306	0.372	0.317	0.576	0.563	0.7	0.155	0.142	0.279	0.247	0.234	0.371	0.222	0.897	0.82	1.496
CPI-SC084C79E20	COL6A3_integrin_a2b1_complex	simple:P12111	complex:integrin_a2b1_complex	COL6A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.329	0.394	0.34	0.163	0.228	0.174	0.14	0.205	0.15	0.19	0.177	0.314	0.212	0.2	0.336	0.106	0.093	0.23	0.214	0.89	0.19	0.866
CPI-SC0A6F94686	COL6A5_integrin_a2b1_complex	simple:A8TX70	complex:integrin_a2b1_complex	COL6A5		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.045	0.11	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.028	0.165	0.0	0.0	0.0	0.063	0.738	0.0	0.0
CPI-SC00D0AFED0	COL6A6_integrin_a2b1_complex	simple:A6NMZ7	complex:integrin_a2b1_complex	COL6A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.076	0.14	0.086	0.064	0.128	0.074	0.048	0.112	0.058	0.043	0.03	0.167	0.034	0.022	0.158	0.035	0.022	0.159	0.187	0.863	0.018	0.694
CPI-SC05640277E	COL7A1_integrin_a2b1_complex	simple:Q02388	complex:integrin_a2b1_complex	COL7A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.068	0.134	0.079	0.055	0.12	0.066	0.048	0.112	0.058	0.246	0.233	0.369	0.105	0.092	0.229	0.037	0.024	0.161	0.05	0.726	0.043	0.719
CPI-SC0B3564B15	COL8A1_integrin_a2b1_complex	simple:P27658	complex:integrin_a2b1_complex	COL8A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.046	0.11	0.056	0.053	0.118	0.064	0.046	0.111	0.056	0.0	0.0	0.0	0.032	0.019	0.156	0.032	0.019	0.156	0.014	0.689	0.0	0.0
CPI-SC0F94B7D8F	COL8A2_integrin_a2b1_complex	simple:P25067	complex:integrin_a2b1_complex	COL8A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.046	0.111	0.056	0.096	0.16	0.106	0.048	0.113	0.058	0.034	0.021	0.158	0.035	0.022	0.159	0.032	0.02	0.156	0.015	0.69	0.0	0.0
CPI-SC00065C95C	COL9A1_integrin_a2b1_complex	simple:P20849	complex:integrin_a2b1_complex	COL9A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.049	0.114	0.059	0.048	0.114	0.059	0.047	0.112	0.057	0.032	0.02	0.156	0.045	0.032	0.169	0.032	0.019	0.156	0.014	0.689	0.015	0.691
CPI-SC0A916E0E2	COL9A2_integrin_a2b1_complex	simple:Q14055	complex:integrin_a2b1_complex	COL9A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.125	0.19	0.136	0.06	0.125	0.071	0.046	0.111	0.056	0.076	0.064	0.2	0.05	0.037	0.174	0.032	0.02	0.156	0.028	0.704	0.018	0.694
CPI-SC0BB68FB34	COL9A3_integrin_a2b1_complex	simple:Q14050	complex:integrin_a2b1_complex	COL9A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.912	0.977	0.923	0.302	0.367	0.312	0.099	0.164	0.11	0.484	0.472	0.608	0.108	0.095	0.232	0.038	0.026	0.162	0.101	0.777	0.067	0.743
CPI-SC01D1C56CC	FN1_integrin_a2b1_complex	simple:P02751	complex:integrin_a2b1_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.076	0.14	0.086	0.093	0.158	0.103	0.104	0.169	0.114	0.102	0.089	0.226	0.091	0.078	0.215	0.16	0.147	0.284	0.211	0.886	0.214	0.89
CPI-SC0A460766C	LAMC1_integrin_a2b1_complex	simple:P11047	complex:integrin_a2b1_complex	LAMC1		True	False	False	curated	True	Ligand-Receptor	Adhesion by Laminin	0.518	0.584	0.529	0.288	0.354	0.299	0.164	0.23	0.175	0.359	0.346	0.483	0.472	0.459	0.596	0.172	0.159	0.295	0.202	0.878	0.781	1.456
CPI-SC09D882C18	CDH1_integrin_aEb7_complex	simple:P12830	complex:integrin_aEb7_complex	CDH1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Cadherin	0.046	0.04	0.04	0.06	0.054	0.054	0.136	0.13	0.129	0.07	0.021	0.016	0.085	0.036	0.031	0.23	0.181	0.176	0.201	0.201	0.092	0.092
CPI-SS0CC5DCE80	CDH1_KLRG1	simple:P12830	simple:Q96E93	CDH1	KLRG1	False	False	True	curated	False	Ligand-Receptor	Adhesion by Cadherin	0.154	0.062	0.058	0.168	0.076	0.072	0.243	0.151	0.148	0.265	0.287	0.024	0.281	0.302	0.039	0.426	0.448	0.185	0.262	0.211	0.153	0.102
CPI-SS0EE09A201	CDH2_CDH2	simple:P19022	simple:P19022	CDH2	CDH2	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	1.053	0.776	0.806	0.776	0.5	0.529	0.806	0.529	0.558	0.951	0.604	0.793	0.604	0.257	0.447	0.793	0.447	0.636	0.411	0.46	0.46	0.508
CPI-SS0ADFF0666	CDH2_FCER2	simple:P19022	simple:P06734	CDH2	FCER2	True	False	True	curated	False	Ligand-Receptor	Adhesion by Cadherin	0.538	0.0	0.528	0.262	0.0	0.252	0.291	0.0	0.281	0.478	0.0	0.0	0.131	0.0	0.0	0.32	0.0	0.0	0.208	0.0	0.257	0.0
CPI-SS0DA0F5556	CDH3_CDH3	simple:P22223	simple:P22223	CDH3	CDH3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.923	0.755	0.866	0.755	0.588	0.698	0.866	0.698	0.808	0.041	0.059	0.4	0.059	0.077	0.418	0.4	0.418	0.758	0.448	0.758	0.758	1.068
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.354	0.178	0.178	0.178	0.001	0.001	0.178	0.001	0.001	0.14	0.077	0.072	0.077	0.014	0.009	0.072	0.009	0.004	0.0	0.0	0.0	0.006
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.002	0.05	0.069	0.05	0.099	0.117	0.069	0.117	0.135	0.002	0.003	0.046	0.003	0.003	0.047	0.046	0.047	0.09	0.005	0.011	0.011	0.017
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.041	0.491	0.458	0.491	0.941	0.908	0.458	0.908	0.876	0.062	0.054	0.326	0.054	0.045	0.318	0.326	0.318	0.59	0.017	0.064	0.064	0.11
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.147	0.813	0.704	0.813	1.479	1.369	0.704	1.369	1.26	0.396	0.277	1.039	0.277	0.158	0.92	1.039	0.92	1.682	1.209	1.223	1.223	1.237
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	CADM3	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.126	0.792	0.683	0.083	0.749	0.64	0.075	0.741	0.632	0.218	0.098	0.861	0.208	0.089	0.851	0.0	0.0	0.0	0.613	0.627	0.0	0.0
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	CADM1	NECTIN3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.188	0.128	0.123	0.854	0.794	0.789	0.744	0.684	0.68	0.452	0.521	0.256	0.333	0.401	0.137	1.096	1.164	0.899	0.703	0.643	0.717	0.657
CPI-SS00550260E	CADM3_NECTIN3	simple:Q8N126	simple:Q9NQS3	CADM3	NECTIN3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.167	0.108	0.102	0.124	0.064	0.059	0.116	0.056	0.051	0.274	0.342	0.078	0.265	0.333	0.068	0.0	0.0	0.0	0.107	0.047	0.0	0.0
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	NECTIN1	NECTIN3	True	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.132	0.073	0.068	0.136	0.077	0.072	0.138	0.079	0.074	0.27	0.338	0.074	0.261	0.329	0.064	0.276	0.344	0.08	0.145	0.085	0.141	0.081
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	NECTIN2	NECTIN3	False	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.379	0.319	0.314	1.144	1.084	1.08	0.512	0.452	0.448	0.35	0.418	0.153	0.305	0.373	0.108	0.714	0.782	0.518	0.128	0.068	0.579	0.518
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	CADM3	CADM4	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.105	0.147	0.125	0.062	0.103	0.081	0.054	0.096	0.073	0.074	0.049	0.119	0.065	0.04	0.11	0.0	0.0	0.0	0.028	0.127	0.0	0.0
CPI-SS0B3829651	CADM3_EPB41L1	simple:Q8N126	simple:Q9H4G0	CADM3	EPB41L1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.156	0.187	0.187	0.112	0.144	0.144	0.104	0.136	0.136	0.164	0.084	0.137	0.154	0.075	0.128	0.0	0.0	0.0	0.074	0.038	0.0	0.0
CPI-SS055B305F1	CEACAM1_CD209	simple:P13688	simple:Q9NNX6	CEACAM1	CD209	True	False	True	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.014	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0
CPI-SS0544D2759	ICAM2_CD209	simple:P13598	simple:Q9NNX6	ICAM2	CD209	True	False	True	curated	False	Ligand-Receptor	Adhesion by ICAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.002	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0
CPI-SS0A2949959	ICAM3_CD209	simple:P32942	simple:Q9NNX6	ICAM3	CD209	True	False	True	curated	False	Ligand-Receptor	Adhesion by ICAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.0	0.0	0.009	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0
CPI-SS0A2D7895C	CEACAM1_CEACAM6	simple:P13688	simple:P40199	CEACAM1	CEACAM6	True	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.036	0.0	0.0	0.04	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08C411721	CEACAM8_CEACAM6	simple:P31997	simple:P40199	CEACAM8	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0CCDBBBC0	CEACAM1_CEACAM8	simple:P13688	simple:P31997	CEACAM1	CEACAM8	True	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.014	0.0	0.0	0.018	0.0	0.0	0.006	0.0	0.0	0.017	0.0	0.0	0.015	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BDC04683	CEACAM1_SELE	simple:P13688	simple:P16581	CEACAM1	SELE	True	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.015	0.014	0.0	0.018	0.018	0.0	0.008	0.007	0.0	0.0	0.018	0.0	0.0	0.016	0.0	0.0	0.022	0.005	0.005	0.007	0.007
CPI-SS0B111D2F5	PODXL2_SELE	simple:Q9NZ53	simple:P16581	PODXL2	SELE	False	False	False	curated	False	Ligand-Receptor	Signaling by Podocalyxin-like protein	0.0	1.226	1.226	0.0	0.128	0.128	0.0	0.138	0.137	0.0	0.0	0.588	0.0	0.0	0.431	0.0	0.0	0.099	0.363	0.364	0.038	0.038
